
step 0: train loss 4.2874, val loss 4.2823
[2023-10-20 13:05:31,093] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:31,837] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:32,961] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,173] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,621] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,836] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,158] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,371] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,693] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,906] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:35,229] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:35,442] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 3190: loss 1.1784, time 40.69ms, mfu 9.03%
iter 3200: loss 1.1581, time 40.66ms, mfu 9.05%
iter 3210: loss 1.1544, time 40.72ms, mfu 9.06%
iter 3220: loss 1.1543, time 40.67ms, mfu 9.07%
iter 3230: loss 1.1586, time 40.69ms, mfu 9.08%
iter 3240: loss 1.1516, time 40.64ms, mfu 9.09%
step 3250: train loss 1.0669, val loss 1.4513
iter 3250: loss 1.1679, time 4689.16ms, mfu 8.18%
iter 3260: loss 1.1656, time 40.73ms, mfu 8.28%
iter 3270: loss 1.1701, time 40.63ms, mfu 8.37%
iter 3280: loss 1.1450, time 40.63ms, mfu 8.45%
iter 3290: loss 1.1510, time 40.68ms, mfu 8.52%
iter 3300: loss 1.1474, time 40.69ms, mfu 8.58%
iter 3310: loss 1.1503, time 40.54ms, mfu 8.65%
iter 3320: loss 1.1741, time 40.75ms, mfu 8.70%
iter 3330: loss 1.1562, time 40.68ms, mfu 8.74%
iter 3340: loss 1.1663, time 40.70ms, mfu 8.78%
iter 3350: loss 1.1628, time 40.74ms, mfu 8.82%
iter 3360: loss 1.1318, time 40.83ms, mfu 8.85%
iter 3370: loss 1.1645, time 40.79ms, mfu 8.88%
iter 3380: loss 1.1455, time 40.70ms, mfu 8.91%
iter 3390: loss 1.1528, time 40.79ms, mfu 8.93%
iter 3400: loss 1.1531, time 40.83ms, mfu 8.95%
iter 3410: loss 1.1488, time 40.80ms, mfu 8.97%
iter 3420: loss 1.1613, time 40.67ms, mfu 8.99%
iter 3430: loss 1.1620, time 40.84ms, mfu 9.00%
iter 3440: loss 1.1879, time 40.86ms, mfu 9.01%
iter 3450: loss 1.1633, time 40.81ms, mfu 9.02%
iter 3460: loss 1.1556, time 40.73ms, mfu 9.04%
iter 3470: loss 1.1419, time 40.84ms, mfu 9.05%
iter 3480: loss 1.1631, time 40.81ms, mfu 9.05%
