
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:20:24,983] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:25,660] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:26,499] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:26,717] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,193] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,410] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,755] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,980] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,325] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,546] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,877] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:29,096] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 2570: loss 1.2147, time 40.87ms, mfu 8.61%
iter 2580: loss 1.2203, time 40.87ms, mfu 8.66%
iter 2590: loss 1.2102, time 40.86ms, mfu 8.71%
iter 2600: loss 1.2027, time 41.35ms, mfu 8.74%
iter 2610: loss 1.1838, time 41.12ms, mfu 8.77%
iter 2620: loss 1.1846, time 41.26ms, mfu 8.80%
iter 2630: loss 1.1611, time 40.84ms, mfu 8.83%
iter 2640: loss 1.1902, time 40.85ms, mfu 8.86%
iter 2650: loss 1.2135, time 41.04ms, mfu 8.88%
iter 2660: loss 1.1891, time 40.87ms, mfu 8.91%
iter 2670: loss 1.1743, time 40.73ms, mfu 8.93%
iter 2680: loss 1.1951, time 40.83ms, mfu 8.95%
iter 2690: loss 1.1917, time 40.83ms, mfu 8.97%
iter 2700: loss 1.1723, time 41.09ms, mfu 8.98%
iter 2710: loss 1.1976, time 41.31ms, mfu 8.98%
iter 2720: loss 1.1876, time 41.04ms, mfu 8.99%
iter 2730: loss 1.2039, time 40.84ms, mfu 9.00%
iter 2740: loss 1.1794, time 42.58ms, mfu 8.98%
step 2750: train loss 1.0844, val loss 1.4558
iter 2750: loss 1.1845, time 4648.30ms, mfu 8.09%
iter 2760: loss 1.1663, time 41.02ms, mfu 8.19%
iter 2770: loss 1.1622, time 41.02ms, mfu 8.28%
iter 2780: loss 1.1745, time 41.40ms, mfu 8.35%
iter 2790: loss 1.1926, time 41.00ms, mfu 8.42%
iter 2800: loss 1.1634, time 41.00ms, mfu 8.49%
iter 2810: loss 1.1908, time 42.63ms, mfu 8.52%
iter 2820: loss 1.1774, time 41.44ms, mfu 8.56%
iter 2830: loss 1.1786, time 41.41ms, mfu 8.61%
iter 2840: loss 1.1397, time 41.10ms, mfu 8.65%
iter 2850: loss 1.1815, time 41.15ms, mfu 8.69%
iter 2860: loss 1.1757, time 41.34ms, mfu 8.73%
iter 2870: loss 1.1617, time 41.00ms, mfu 8.76%
iter 2880: loss 1.1951, time 41.47ms, mfu 8.78%
iter 2890: loss 1.1595, time 41.15ms, mfu 8.81%
iter 2900: loss 1.1420, time 41.10ms, mfu 8.84%
iter 2910: loss 1.1910, time 40.99ms, mfu 8.86%
iter 2920: loss 1.1680, time 42.58ms, mfu 8.85%
iter 2930: loss 1.1495, time 40.98ms, mfu 8.88%
iter 2940: loss 1.1355, time 41.04ms, mfu 8.90%
iter 2950: loss 1.1690, time 41.22ms, mfu 8.91%
iter 2960: loss 1.1529, time 41.03ms, mfu 8.93%
iter 2970: loss 1.1399, time 41.22ms, mfu 8.94%
iter 2980: loss 1.1432, time 41.41ms, mfu 8.94%
iter 2990: loss 1.1424, time 41.16ms, mfu 8.96%
step 3000: train loss 1.0488, val loss 1.4460
saving checkpoint to perp
iter 3000: loss 1.1395, time 4932.66ms, mfu 8.07%
iter 3010: loss 1.1460, time 40.99ms, mfu 8.17%
iter 3020: loss 1.1603, time 41.03ms, mfu 8.26%
iter 3030: loss 1.1503, time 41.14ms, mfu 8.34%
iter 3040: loss 1.1786, time 41.21ms, mfu 8.41%
iter 3050: loss 1.1379, time 41.80ms, mfu 8.46%
iter 3060: loss 1.1522, time 41.14ms, mfu 8.52%
iter 3070: loss 1.1714, time 40.97ms, mfu 8.58%
iter 3080: loss 1.1598, time 41.16ms, mfu 8.63%
iter 3090: loss 1.1416, time 40.97ms, mfu 8.67%
iter 3100: loss 1.1575, time 41.15ms, mfu 8.71%
iter 3110: loss 1.1237, time 41.40ms, mfu 8.74%
iter 3120: loss 1.1551, time 41.28ms, mfu 8.77%
iter 3130: loss 1.1377, time 40.97ms, mfu 8.80%
iter 3140: loss 1.1444, time 40.96ms, mfu 8.83%
iter 3150: loss 1.1643, time 41.00ms, mfu 8.86%
iter 3160: loss 1.1804, time 42.57ms, mfu 8.85%
iter 3170: loss 1.1213, time 41.10ms, mfu 8.87%
iter 3180: loss 1.1259, time 41.34ms, mfu 8.88%
iter 3190: loss 1.1443, time 40.99ms, mfu 8.90%
iter 3200: loss 1.1235, time 41.84ms, mfu 8.90%
iter 3210: loss 1.1289, time 41.01ms, mfu 8.92%
iter 3220: loss 1.1175, time 41.16ms, mfu 8.94%
iter 3230: loss 1.1199, time 41.15ms, mfu 8.95%
iter 3240: loss 1.1098, time 42.51ms, mfu 8.93%
step 3250: train loss 1.0239, val loss 1.4620
iter 3250: loss 1.1308, time 4623.75ms, mfu 8.04%
iter 3260: loss 1.1276, time 41.14ms, mfu 8.15%
iter 3270: loss 1.1323, time 41.06ms, mfu 8.24%
iter 3280: loss 1.1094, time 42.37ms, mfu 8.29%
iter 3290: loss 1.1054, time 41.00ms, mfu 8.37%
iter 3300: loss 1.1080, time 40.99ms, mfu 8.45%
iter 3310: loss 1.1166, time 42.62ms, mfu 8.48%
iter 3320: loss 1.1265, time 41.03ms, mfu 8.54%
iter 3330: loss 1.1175, time 41.02ms, mfu 8.59%
iter 3340: loss 1.1195, time 40.97ms, mfu 8.64%
iter 3350: loss 1.1243, time 40.99ms, mfu 8.69%
iter 3360: loss 1.0918, time 41.01ms, mfu 8.73%
iter 3370: loss 1.1245, time 41.03ms, mfu 8.76%
iter 3380: loss 1.1081, time 41.13ms, mfu 8.79%
iter 3390: loss 1.1161, time 41.01ms, mfu 8.82%
iter 3400: loss 1.1186, time 42.54ms, mfu 8.81%
iter 3410: loss 1.1116, time 42.37ms, mfu 8.81%
iter 3420: loss 1.1246, time 42.64ms, mfu 8.81%
iter 3430: loss 1.1289, time 41.12ms, mfu 8.83%
iter 3440: loss 1.1478, time 42.06ms, mfu 8.83%
iter 3450: loss 1.1209, time 42.41ms, mfu 8.83%
iter 3460: loss 1.1157, time 42.43ms, mfu 8.82%
iter 3470: loss 1.1092, time 49.28ms, mfu 8.70%
iter 3480: loss 1.1226, time 47.67ms, mfu 8.61%
iter 3490: loss 1.0986, time 45.16ms, mfu 8.57%
