
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:47:26,590] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:26,847] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,238] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,453] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,907] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,124] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,450] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,665] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,988] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,206] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,534] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,753] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1970: loss 1.3385, time 40.95ms, mfu 8.96%
iter 1980: loss 1.3515, time 40.91ms, mfu 8.97%
iter 1990: loss 1.3441, time 40.96ms, mfu 8.99%
step 2000: train loss 1.2551, val loss 1.4918
saving checkpoint to perp
iter 2000: loss 1.3400, time 4955.49ms, mfu 8.10%
iter 2010: loss 1.3398, time 40.93ms, mfu 8.20%
iter 2020: loss 1.3251, time 40.94ms, mfu 8.29%
iter 2030: loss 1.3650, time 40.93ms, mfu 8.37%
iter 2040: loss 1.3458, time 40.96ms, mfu 8.44%
iter 2050: loss 1.3087, time 40.92ms, mfu 8.51%
iter 2060: loss 1.3039, time 40.98ms, mfu 8.57%
iter 2070: loss 1.3257, time 40.92ms, mfu 8.62%
iter 2080: loss 1.3119, time 40.95ms, mfu 8.67%
iter 2090: loss 1.3506, time 40.94ms, mfu 8.71%
iter 2100: loss 1.3274, time 40.96ms, mfu 8.75%
iter 2110: loss 1.3243, time 40.91ms, mfu 8.79%
iter 2120: loss 1.3343, time 40.93ms, mfu 8.82%
iter 2130: loss 1.3379, time 40.98ms, mfu 8.85%
iter 2140: loss 1.3502, time 40.98ms, mfu 8.87%
iter 2150: loss 1.3247, time 40.96ms, mfu 8.89%
iter 2160: loss 1.3592, time 40.97ms, mfu 8.91%
iter 2170: loss 1.3447, time 40.97ms, mfu 8.93%
iter 2180: loss 1.3293, time 41.00ms, mfu 8.95%
iter 2190: loss 1.3140, time 40.97ms, mfu 8.96%
iter 2200: loss 1.3307, time 41.00ms, mfu 8.97%
iter 2210: loss 1.3115, time 40.94ms, mfu 8.99%
iter 2220: loss 1.3231, time 40.96ms, mfu 9.00%
iter 2230: loss 1.3304, time 40.93ms, mfu 9.01%
iter 2240: loss 1.3488, time 40.97ms, mfu 9.02%
step 2250: train loss 1.2287, val loss 1.4763
saving checkpoint to perp
iter 2250: loss 1.3229, time 4949.92ms, mfu 8.12%
iter 2260: loss 1.3161, time 40.97ms, mfu 8.22%
iter 2270: loss 1.3653, time 40.92ms, mfu 8.31%
iter 2280: loss 1.2977, time 40.97ms, mfu 8.39%
iter 2290: loss 1.3452, time 40.98ms, mfu 8.46%
iter 2300: loss 1.3353, time 40.97ms, mfu 8.52%
iter 2310: loss 1.3119, time 40.96ms, mfu 8.58%
